,Year,Frequency,Country,Document
11,2007,"[('project', 1577), ('court', 1225), ('water', 1092), ('impacts', 935), ('environmental', 934), ('plaintiffs', 874), ('agency', 847), ('federal', 829), ('climate', 812), ('national', 775), ('plan', 772), ('case', 768), ('change', 765), ('assessment', 753), ('public', 736), ('act', 703), ('state', 686), ('emissions', 678), ('states', 675), ('new', 660)]",USA,20070109_docket-05-cv-5191_Federal-Register-notice20070122_docket-06-7062_brief20070122_docket-06-7062_declaration20070201_docket-na_petition-for-rulemaking20070208_docket-06-7062_amicus-brief-120070208_docket-06-7062_declaration20070220_docket-107-cv-00365_complaint20070330_docket-02-04106_opinion-and-order-120070402_docket-05-1120_opinion20070427_docket-06-CS-01228_na20070521_docket-606-cv-00355_order20070522_docket-26-27462_order20070525_docket-05-CV-01207_order20070608_docket-07-cv-5451_complaint20070703_docket-RIC-460950_brief-120070712_docket-07-cv-0894_order-120070712_docket-07-cv-0894_order20070723_docket-107-cv-01311_complaint20070815_docket-BS-084677_decision-120070821_docket-06-7062_order20070822_docket-07-02_petition-for-review20070828_docket-CIVSS-0700329_settlement-agreement-120070830_docket-105-cv-00436_order20070910_docket-_settlement-agreement20070912_docket-205-cv-302-205–cv-304_opinion-and-order20070914_docket-RIC-460950_opposition20070917_docket-06-cv-05755_order20070924_docket-06-1322_order20070927_docket-07-04997_complaint20070928_docket-06-3357_opinion20071016_docket-107-cv-01860_complaint20071024_docket-07-cv-01023_complaint20071108_docket-06-3386-07-1480_memorandum-opinion-120071121_docket-07-03_order20071127_docket-CV-2007-2708_complaint20071201_docket-_memorandum20071218_docket-NA_petition-for-rulemaking-120071219_docket-07-cv-6406_complaint20071221_docket-06-70T-06-69T_memorandum-1
12,2008,"[('motor', 47), ('court', 42), ('vehicle', 32), ('damage', 31), ('gm', 26), ('range', 25), ('property', 24), ('law', 23), ('magazine', 22), ('act', 20), ('case', 20), ('defendants', 20), ('said', 20), ('august', 20), ('carbon', 20), ('physical', 18), ('respondent', 18), ('advertisements', 18), ('evidence', 16), ('advertisement', 16)]",AUSTRALIA,20080502_2008-NSWSC-244-Australia_opinion20080918_2008-FCA-1428_opinion-1
13,2008,"[('polar', 2044), ('emissions', 1625), ('permit', 1423), ('agency', 1416), ('court', 1327), ('act', 1276), ('air', 1206), ('ice', 1188), ('environmental', 1185), ('sea', 1145), ('document', 1116), ('section', 1104), ('species', 1083), ('federal', 1082), ('bears', 1052), ('public', 1038), ('bear', 1021), ('proposed', 1015), ('climate', 1000), ('case', 971)]",USA,20080103_docket-08-70011_petition-for-review20080109_docket-08-cv-1339_notice-of-intent-to-sue-120080116_docket-24485_opinion20080117_docket-08-0311_petition-for-review20080128_docket-07-01_order20080129_docket-RIC-460950_order20080212_docket-08-A-J-4066_petition-for-review20080226_docket-408-cv-01138-SBA_complaint20080227_docket-07-16695_opinion20080228_docket-NA_petition-for-rulemaking-220080313_docket-07-04997_memorandum-and-order20080320_docket-107-cv-01311_stipulation20080328_docket-307-cv-04936_administrative-order20080402_docket-03-1361_petition20080410_docket-08-70011_order20080416_docket-06-cv-00245_memorandum-decision20080422_docket-07-cv-00141_order20080424_docket-99566-99567-99568_order20080425_docket-07-cv-1305_complaint20080515_docket-08-cv-1339_Federal-Register-notice-120080523_docket-108-cv-00881-EGS_complaint20080523_docket-908-cv-80553_complaint-120080602_docket-07-02_order20080617_docket-08-cv-1339_order20080624_docket-104-cv-06663_memorandum-opinion-and-order20080626_docket-03-1361_order20080626_docket-07-74819_brief20080627_docket-DDV-08-820_petition-for-review-120080630_docket-2008CV146398_order20080708_docket-308-cv-0159-RRB_complaint-120080715_docket-07-CV-245-07-CV-246_transcript20080715_docket-07CS00967_order20080721_docket-07-50685_opinion20080723_docket-108-cv-01689_notice-of-intent-to-sue-120080723_docket-BS-108937_decision-120080725_docket-08-70011_order20080728_docket-BS-110792_decision-120080806_docket-RIC464585_decision20080812_docket-108-cv-00380_complaint-120080813_docket-08-03-08-04-08-05-08-06_petition-for-review-120080813_docket-08-cv-1339_order20080814_docket-08-03-08-04-08-05-08-06_petition-for-review-120080818_docket-06-71891_opinion-and-order20080819_docket-08-cv-01936_complaint20080819_docket-CPF-08-508759_petition-for-writ-of-mandate20080825_docket-908-cv-80553_complaint-120080908_docket-107-cv-01860_complaint-120080908_docket-108-cv-01550_complaint-120080910_docket-CV-034405_settlement-agreement20080930_docket-34-2008-80000064_petition-for-writ-of-mandate20081002_docket-08-03-08-04-08-05-08-06_brief-120081002_docket-08-03-08-04-08-05-08-06_petition-for-review-120081002_docket-08-cv-1339_order-120081002_docket-08-cv-1339_order20081002_docket-108-cv-01689_complaint-120081003_docket-08-633-MVRLP_memorandum-opinion-and-order20081006_docket-PSD-08-09_petition-for-review20081007_docket-08-cv-02167_complaint20081007_docket-08-cv-1339_settlement-agreement-120081009_docket-08-cv-1339_motion-to-intervene20081010_docket-08-cv-1339_order20081015_docket-CV-07-3338_memorandum20081016_docket-08CECG03614_petition-for-writ-of-mandate20081016_docket-93A02-0712-EX-1093_opinion20081020_docket-08-cv-1339_order20081030_docket-CV-08-92-M-DWM_order-120081110_docket-108-cv-00380_memorandum-opinion-120081113_docket-07-03_order20081117_docket-208-cv-02575_complaint20081118_docket-08-cv-1339_order20081118_docket-908-cv-80553_order20081125_docket-06-70T-06-69T_memorandum-120081125_docket-108-cv-01689_memorandum-120081125_docket-108-cv-01689_motion-to-dismiss-120081204_docket-08-cv-1339_order20081212_docket-Misc.-Action-No.-08-0764-EGS-MDL-Docket-No.-1993_order20081217_docket-908-cv-00178-DWM_complaint20081222_docket-07-2055_na
14,2009,"[('court', 1550), ('document', 1196), ('state', 1099), ('case', 1031), ('plaintiffs', 969), ('new', 968), ('permit', 957), ('federal', 832), ('filed', 802), ('public', 747), ('page', 738), ('environmental', 712), ('air', 707), ('agency', 703), ('law', 698), ('emissions', 693), ('review', 690), ('states', 688), ('board', 676), ('act', 597)]",USA,20090115_docket-109-cv-00090_complaint-120090115_docket-209-cv-27_complaint-120090122_docket-08-03-08-04-08-05-08-06_order-120090129_docket-209-cv-00022_complaint-120090206_docket-02-04106_settlement-agreement-120090206_docket-02-04106_settlement-agreement20090218_docket-08-02_order20090220_docket-08-cv-02167_complaint20090302_docket-109-cv-00003_complaint20090303_docket-07-cv-1305_order20090309_docket-09-1018_order20090327_docket-09-10467-WGY_complaint20090402_docket-09-70972_petition-for-review20090409_docket-___-ALJ-__-_____-___notice20090417_docket-07-1247_opinion20090421_docket-08-0311_order20090424_docket-CPF-08-508759_order20090427_docket-08-03-08-04-08-05-08-06_motion20090430_docket-109-cv-00003_opinion-and-order20090507_docket-08-0516_memorandum-decision-120090507_docket-208-cv-02575_notice-of-voluntary-dismissal20090514_docket-209-cv-00670-JCC_complaint20090514_docket-CIV-BS-800607_minute-order20090515_docket-109-cv-00090_stipulation20090601_docket-108-cv-570_memorandum-of-law20090608_docket-S-06-2845_memorandum20090619_docket-07-16908_motion20090622_docket-08-7837_opinion-and-order20090623_docket-109-cv-01463_petition-for-review-120090624_docket-07-16908_order20090624_docket-CA-08-128_opinion20090630_docket-1303310_na20090707_docket-A09A0387-A09A0388_opinion20090710_docket-1074632009_memorandum-of-law20090710_docket-1074632009_petition20090717_docket-509-cv-03283_complaint20090721_docket-09-03_petition-for-review20090724_docket-09-1089_opinion20090727_docket-908-cv-80553_order20090807_docket-07-74819_order20090810_docket-CL08-3530_decision20090811_docket-09-945-cz_complaint20090814_docket-09-10467-WGY_memorandum-opinion-and-order-120090825_docket-07-04997_report-and-recommendation20090827_docket-08-35180_memorandum20090903_docket-309-cv-04087_complaint-120090909_docket-07-04997_report-and-recommendation20090910_docket-31363_opinion-120090917_docket-1074632009_memorandum-of-law20090921_docket-05-5104-cv-05-5119-cv_opinion20090921_docket-CV-07-134-M-DWM_order-120090922_docket-A08-2171_opinion20090922_docket-PSD-08-09_order20090923_docket-108-cv-00380_complaint-120090924_docket-08-03-08-04-08-05-08-06_order-120090930_docket-408-cv-01138-SBA_order20091006_docket-509-cv-03283_order20091006_docket-D-1-GN-09-003426_petition20091007_docket-909-cv-00073_memorandum20091013_docket-309-cv-02346-MMC_settlement-agreement20091016_docket-07-60756_opinion20091016_docket-34-2009-80000232_order20091026_docket-09-CV-02014_complaint20091026_docket-109-cv-2014_complaint-120091028_docket-CPF-09-509927_petition-for-writ-of-mandate20091102_docket-07-04997_order20091106_docket-109-cv-2014_complaint-120091112_docket-909-cv-00073_memorandum20091123_docket-05-cr-00017_memorandum20091130_docket-09-70972_order20091202_docket-08-35402_opinion20091204_docket-20080113_opinion20091207_docket-109-cv-00003_opinion-and-order20091215_docket-05-cr-00017_order20091216_docket-09-CV-407_memorandum-of-decision-220091217_docket-C08-1067-JCC_opinion20091221_docket-1074632009_order20091223_docket-5280-2009_consent-decree
15,2010,"[('water', 258), ('groundwater', 185), ('use', 90), ('rainfall', 79), ('balance', 68), ('term', 66), ('climate', 65), ('evidence', 51), ('act', 50), ('long', 48), ('levels', 48), ('aquifer', 41), ('commission', 41), ('existing', 40), ('new', 40), ('change', 39), ('authority', 34), ('resource', 34), ('consider', 34), ('impacts', 29)]",AUSTRALIA,20100421_2010-VCAT-480_decision20100929_2010-FCA-1057_opinion-1
16,2010,"[('fuel', 2937), ('court', 2365), ('renewable', 2337), ('emissions', 1625), ('environmental', 1561), ('case', 1452), ('use', 1442), ('section', 1371), ('plaintiffs', 1317), ('states', 1229), ('air', 1203), ('federal', 1189), ('new', 1171), ('state', 1156), ('rule', 1142), ('ethanol', 1136), ('agency', 1126), ('project', 1086), ('analysis', 1068), ('production', 1009)]",USA,2010-385120100104_docket-210-cv-10_complaint20100105_docket-DV-2009-1-PR-through-DV-2009-8-PR_order-120100108_docket-308-cv-0159-RRB_order-120100111_docket-217-cv-00289_notice-of-appeal20100111_docket-2199-09-2_brief20100113_docket-D-506-CV-201000050_complaint20100127_docket-B215788_opinion20100128_docket-09-03_order20100202_docket-110-CV-163-LJO-BAM_complaint-120100203_docket-09-2622_memorandum-opinion-and-order-120100205_docket-2008-858_order20100209_docket-286773_opinion20100209_docket-609-cv-00037-609-cv-00414_memorandum-opinion-and-order-120100218_docket-10-cv-246_complaint20100224_docket-09-2622_memorandum-opinion-and-order-120100226_docket-07-60756_order20100304_docket-CIV-BS-800607_settlement-agreement20100305_docket-E046237_settlement-agreement20100309_docket-10-cv-0992_complaint20100311_docket-209-cv-00670-JCC_settlement-agreement20100312_docket-908-cv-00178-DWM_settlement-agreement20100312_docket-A123948_opinion20100324_docket-09-945-cz_settlement-agreement20100331_docket-109-cv-588_memorandum-opinion-and-order-120100401_docket-08-cv-02167_memorandum-opinion-and-order20100413_docket-D-506-CV-201000050_order20100426_docket-A125618_opinion20100504_docket-09-0629-E-BLW_memorandum-decision-120100513_docket-09-718_opinion20100519_docket-108-cv-570_memorandum-opinion-and-order20100519_docket-110-cv-00734-BAH_complaint-120100519_docket-H-09-0692_memorandum-opinion-and-order20100525_docket-10-1106_petition-for-review-120100525_docket-2199-09-2_opinion20100525_docket-D056652-D056648_opinion20100526_docket-209-cv-01275-GLL_memorandum-120100527_docket-CL10-398_petition20100528_docket-07-60756_order20100528_docket-10-1115_complaint20100528_docket-10-1115_petition-for-review20100602_docket-810-cv-01381_complaint-120100603_docket-10-cv-0992_settlement-agreement-120100607_docket-32396-32409_order20100609_docket-09-1018_motion20100611_docket-10-cv-985_complaint20100616_docket-109-cv-2234-LJO-BAM_order-120100616_docket-NA_petition-for-rulemaking-120100617_docket-307-cv-00066_memorandum-opinion-220100617_docket-D055699_opinion20100618_docket-2010cv02673_complaint20100622_docket-105-cv-01119_motion20100701_docket-DV-38-2010-2480_complaint20100708_docket-S-06-2845_opinion20100713_docket-10-01174_complaint20100720_docket-09-1325_settlement-agreement20100720_docket-09-1331_settlement-agreement-120100720_docket-09-1333_settlement-agreement20100721_docket-10-2-01613-6_complaint20100726_docket-108-cv-00380_memorandum-opinion-120100726_docket-34-2010-80000612_petition-for-writ-of-mandate20100727_docket-09-2901-cv_opinion20100728_docket-07-cv-1305_motion-to-dismiss20100728_docket-909-cv-00073_order20100802_docket-10-1215_petition-for-review20100802_docket-10–174_petition-for-writ-of-certiorari-120100803_docket-34-2010-80000612_order20100806_docket-210-cv-10_stipulation20100824_docket-10-cv-11455-MLW_complaint20100824_docket-10–174_brief20100827_docket-09-1318_opinion20100830_docket-10-1388_statement-of-issues20100830_docket-CL10-398_decision20100831_docket-108-cv-00380_stipulation-120100914_docket-09-1018_motion20100915_docket-09-35896_opinion-120100929_docket-CL10-398_na20100930_docket-08-633-MVRLP_memorandum-opinion-and-order20101019_docket-09-2622_memorandum-opinion-and-order20101022_docket-10-2-01613-6_order20101026_docket-10-294-_petition20101104_docket-Misc.-Action-No.-08-0764-EGS-MDL-Docket-No.-1993_memorandum-opinion20101105_docket-10-618_petition-for-writ-of-certiorari-120101110_docket-32396-32409_opinion20101115_docket-209-cv-00670-JCC_memorandum20101116_docket-09-1018_order20101116_docket-10-1388_petition-for-review-120101118_docket-PSD-Appeal-Nos.-10-01-10-02-10-03-10-04-10-05_order20101124_docket-08-A-J-4066_order20101204_docket-A10-812_opinion20101207_docket-A10-539_opinion20101208_docket-08-EHR-0771-0835-0836-and-09-EHR-3102-3174-3176_order20101210_docket-09-1322-10-1073-10-1092-10-1167_order-120101213_docket-10-023_petition-for-review-120101221_docket-10-1070_opinion20101221_docket-309-cv-04087_order20101223_docket-06-1322_settlement-agreement20101223_docket-08-1279_settlement-agreement20101228_docket-210-cv-1275-DAK_complaint-120101230_docket-10-1425_motion20101230_docket-10-1425_order20101230_docket-10-1425_petition-for-review-1
17,2011,"[('climate', 23), ('oil', 22), ('complaint', 15), ('contact', 13), ('emissions', 11), ('company', 10), ('sand', 10), ('address', 7), ('international', 7), ('guidelines', 6), ('number', 6), ('sands', 6), ('global', 6), ('gas', 6), ('email', 5), ('point', 5), ('warming', 5), ('environment', 5), ('taken', 5), ('fossil', 5)]",NORWAY,20111128_11368_complaint
18,2011,"[('fuel', 3208), ('vehicle', 2868), ('emissions', 2735), ('court', 2524), ('standards', 2461), ('vehicles', 2276), ('section', 2110), ('use', 2079), ('engine', 2030), ('agency', 1992), ('agencies', 1943), ('federal', 1873), ('state', 1811), ('plaintiffs', 1758), ('case', 1718), ('model', 1575), ('project', 1480), ('final', 1470), ('new', 1399), ('air', 1392)]",USA,2011-164592011-2074020110111_docket-2010cv02673_petition20110111_docket-32806_petition20110112_docket-10-1425_order20110114_docket-311-cv-00093_complaint20110126_docket-32806_opinion20110130_docket-09-1325_motion20110131_docket-10–174_brief20110203_docket-09-1325_order20110207_docket-310-cv-05373-RJB_order20110207_docket-411-cv-00015-GF-SEH_complaint20110216_docket-11-1046_petition-for-review20110224_docket-10-60961_order20110301_docket-311-cv-00025-RRB_complaint20110308_docket-09-1325_order20110309_docket-311-cv-00036_complaint20110311_docket-11-1072_petition-for-review-120110328_docket-09-17765_opinion20110328_docket-311-cv-00053-HDM-VPC_order20110329_docket-107-cv-01860_order-120110404_docket-111-cv-00670_complaint-120110411_docket-10-cv-985_memorandum-opinion-and-order20110419_docket-SC-18603_opinion-120110422_docket-10-1070_order20110429_docket-09-1237_opinion20110504_docket-62-CV-11-3952_complaint20110504_docket-CGC-11-510725_complaint20110504_docket-OP-11-0258_petition-120110505_docket-2011-0720-RUL_petition-for-rulemaking-120110508_docket-10-01174_memorandum-opinion-120110509_docket-210-cv-1275-DAK_memorandum-decision20110513_docket-109-cv-01463_memorandum20110513_docket-109-cv-01463_motion20110517_docket-OP-11-0258_order-120110518_docket-11-2-16008-4_complaint20110519_docket-D057524_opinion20110519_docket-No.-16-11-09273_complaint20110520_docket-2011-CV-491_complaint20110524_docket-CL-11-3236_petition20110527_docket-111-cv-00220_complaint-120110527_docket-407-cv-00484_order20110603_docket-109-cv-01463_response20110610_docket-D057779_opinion20110613_docket-10-4916_memorandum-opinion-and-order-120110615_docket-OP-11-0258_order-120110620_docket-10-1882_opinion20110620_docket-10–174_opinion20110621_docket-11-cv-01144_complaint20110622_docket-na_order20110622_docket-na_petition-for-rulemaking20110623_docket-06-1322_settlement-agreement20110623_docket-210-cv-1346-BR_opinion-and-order-120110627_docket-2011-0720-RUL_response-to-petition-for-rulemaking-120110627_docket-4358-11_complaint20110628_docket-10-2008-CM-DJW-10-2068-JTM_memorandum20110630_docket-B224242_opinion20110630_docket-Misc.-Action-No.-08-0764-EGS-MDL-Docket-No.-1993_memorandum-opinion-120110701_docket-11-01564_motion-for-summary-judgment20110701_docket-11-01564_motion20110705_docket-10-cv-985_memorandum-opinion-and-order20110707_docket-109-cv-01463_memorandum-opinion-and-order20110712_docket-11-cv-00859-WJM-BNB_motion-to-dismiss20110713_docket-211-cv-00402-GEB-DAD_order20110714_docket-S180720_opinion20110715_docket-11-01564_opposition20110721_docket-05771-CVCV008748_petition-for-review-120110721_docket-3AN-11-07474CI_complaint20110721_docket-D-1-GN-11-002194_petition20110722_docket-33074_motion20110729_docket-11-cv-41_memorandum-opinion20110801_docket-11-01564_motion-for-summary-judgment20110803_docket-10-cv-3400_opinion20110803_docket-609-cv-00037-609-cv-00414_memorandum-opinion-and-order20110815_docket-11-1285_petition-for-review20110816_docket-11-cv-00859-WJM-BNB_response20110825_docket-10-70718_opinion20110825_docket-E047624_opinion20110831_docket-11-01564_reply20110915_docket-311-cv-00093_order20110916_docket-100764_opinion20110919_docket-11-1328_petition-for-review20110919_docket-111-cv-11657_complaint-120110928_docket-08-0516_memorandum-decision-120110928_docket-107-cv-00365_stipulation20111005_docket-811-cv-00345_complaint20111017_docket-Misc.-Action-No.-08-0764-EGS-MDL-Docket-No.-1993_memorandum-opinion-120111017_docket-Misc.-Action-No.-08-0764-EGS-MDL-Docket-No.-1993_memorandum-opinion-220111031_docket-08-cv-02167_opinion-and-order20111102_docket-11-3232_complaint20111103_docket-11-73342-11-73356_petition-for-review20111109_docket-B231965_opinion20111114_docket-11-01564_opinion20111114_docket-11-1439_petition-for-review-120111117_docket-11-cv-02064_complaint20111122_docket-09-36100-10-35043-10-35052-10-35053-10-35054_opinion20111122_docket-B228048_opinion20111129_docket-10-2765_opinion20111201_docket-11-cv-00417_order20111206_docket-12-cv-85_complaint20111208_docket-11-cv-6174_complaint20111209_docket-10-1376_opinion20111214_docket-11-C-8859-_consent-decree20111214_docket-11-L-13468_complaint20111216_docket-508-cv-396-FL_order-120111222_docket-11-cv-00417_order20111229_docket-109-cv-2234-LJO-BAM_order-120111229_docket-109-cv-2234-LJO-BAM_order-220111229_docket-109-cv-2234-LJO-BAM_order-320111229_docket-97-70037-97-70099-97-70217-07-74348_opinion-1
19,2012,"[('weaver', 478), ('climate', 228), ('article', 116), ('post', 105), ('national', 99), ('global', 89), ('warming', 81), ('defendants', 79), ('university', 78), ('change', 71), ('research', 69), ('comment', 67), ('articles', 67), ('science', 66), ('words', 64), ('defamatory', 59), ('published', 57), ('fossil', 54), ('noted', 54), ('fuel', 53)]",CANADA,20120212_2015-BCSC-165_decision
20,2012,"[('effects', 100), ('climate', 75), ('change', 71), ('regional', 65), ('act', 63), ('greenhouse', 62), ('national', 60), ('coal', 58), ('use', 55), ('discharge', 46), ('discharges', 43), ('air', 42), ('management', 39), ('new', 35), ('energy', 35), ('gases', 34), ('environmental', 34), ('activity', 32), ('amendment', 32), ('emissions', 31)]",NEWZEALAND,20120824_2012-NZHC-2156_decision-1
