country,link,ESG-term,country_mapped,latitude,longitude
poland,http://climatecasechart.com/non-us-case/clientearth-v-enea/,Management_Of_Legal_And_Regulatory_Framework,Poland,52.215933,19.134422
france,http://climatecasechart.com/non-us-case/new-weather-institute-v-fifa/,GHG_Emissions,France,46.603354,1.8883335
france,http://climatecasechart.com/non-us-case/greenpeace-france-and-others-v-totalenergies-se-and-totalenergies-electricite-et-gaz-france/,Business_Ethics,France,46.603354,1.8883335
niger,http://climatecasechart.com/non-us-case/in-re-greenpeace-southeast-asia-et-al/,Human_Rights_And_Community_Relations,Niger,17.7356214,9.3238432
australia,http://climatecasechart.com/non-us-case/dennis-murphy-tipakalippa-v-national-offshore-petroleum-safety-and-environmental-management-authority-anor/,Management_Of_Legal_And_Regulatory_Framework,Australia,-24.7761086,134.755
indonesia,http://climatecasechart.com/non-us-case/minister-of-environment-v-pt-selatnasik-indokwarsa-and-pt-simpang-pesak-indokwarsa/,GHG_Emissions,Indonesia,-2.4833826,117.8902853
france,http://climatecasechart.com/non-us-case/bordeaux-merignac-airport-v-climate-activists/,Physical_Impacts_Of_Climate_Change,France,46.603354,1.8883335
germany,http://climatecasechart.com/non-us-case/regional-court-stuttgart-on-climate-neutral-vinegar-cleaner/,GHG_Emissions,Germany,51.1638175,10.4478313
brazil,http://climatecasechart.com/non-us-case/public-prosecutors-office-of-the-state-of-mato-grosso-v-nelson-noboru-yabuta/,GHG_Emissions,Brazil,-10.3333333,-53.2
netherlands,http://climatecasechart.com/non-us-case/rcc-ruling-on-arla-climate-neutral-milk/,Physical_Impacts_Of_Climate_Change,Netherlands,52.2434979,5.6343227
netherlands,http://climatecasechart.com/non-us-case/rcc-cvb-ruling-on-shell-compensate-your-emissions/,Management_Of_Legal_And_Regulatory_Framework,Netherlands,52.2434979,5.6343227
